"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C75,CF31,CF33";"SM0603";3;"100n";;;
2;"C76,C74";"SM1206";2;"33uF";;;
3;"C401,C404,C405,C408,C409,C410,C396,C397,C398,C399,C400,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8,CF9,CF10,CF11,CF12,CF13,CF16,CF17,CF18,CF19,CF20,CF23,CF24,CF25,CF26,CF27";"SM0603";34;"0.1uF";;;
4;"C402,C403";"SM0603";2;"20pF";;;
5;"C406,C411,CF14,CF21,CF28";"SM0603";5;"1uF";;;
6;"C407,C412";"SM1206";2;"4.7uF";;;
7;"D8,D9,DF1";"SM0603";3;"LED";;;
8;"R5,R33,RF5";"SM0603";3;"1k";;;
9;"U11";"LT1117";1;"ZLDO1117G33TA";;;
10;"X401";"ABM8G";1;"12MHz";;;
11;"UF1";"LQFP-144_20x20mm_Pitch0.5mm";1;"XC6SLX9-2TQG144C";;;
12;"US1";"LQFP-100_14x14mm_Pitch0.5mm";1;"ATSAM3S2CA-AU";;;
13;"RF1";"SM0603";1;"47k";;;
14;"RF2";"SM0603";1;"4.7k";;;
15;"CF15,CF22,CF29";"SM1206_Opendous";3;"4.7uF";;;
16;"CF30,CF32,CF34,CF35";"SM1206_Opendous";4;"33uF";;;
17;"UF2";"SOT-223";1;"ZLDO1117G12TA";;;
18;"UF3";"SOT-223";1;"ZLDO1117G33TA";;;
19;"PFIO1";"Socket_Strip_Straight_2x18";1;"CONN_02X18";;;
20;"PFIO2";"Socket_Strip_Straight_2x12";1;"CONN_02X13";;;
21;"PSA1";"Socket_Strip_Straight_2x14";1;"CONN_02X14";;;
22;"RF3,RF4,RF6,RF7";"SM0603";4;"68";;;
23;"CF36";"SM0603_Opendous";1;"10nF";;;
24;"CF37";"SM1210_Opendous";1;"10uF";;;
25;"CF38";"SM0603_Opendous";1;"100nF";;;
26;"CF39";"SM0603_Opendous";1;"33nF";;;
27;"CF40,CF41";"SM0603_Opendous";2;"47pF";;;
28;"FT1";"LQFP-48_7x7mm_Pitch0.5mm";1;"FT2232D";;;
29;"LF11";"SM0805";1;"HZ0805D152R-10";;;
30;"RF14,RF15";"SM0603_Opendous";2;"27R";;;
31;"RF16";"SM0603_Opendous";1;"10K";;;
32;"RF17";"SM0603_Opendous";1;"1K5";;;
33;"RF18";"SM0603_Opendous";1;"470R";;;
34;"RF19,RF20";"SM0603_Opendous";2;"10k";;;
35;"RF21";"SM0603_Opendous";1;"15K";;;
36;"JMS1,JMS2";"USB_Mini-B";2;"USB-MINI";;;
37;"DP1,DP3";"SM0603_Opendous";2;"DIODE";;;
38;"PS1";"JACK_ALIM";1;"BARREL_JACK";;;
39;"RUF1,RUF2";"SM0603";2;"27";;;
40;"XF2";"CSTCR6M00G53Z";1;"6MHz";;;
41;"TH1,TH2,TH3,TH4,TH5,TH6,TH7,TH8,TH9,TH10,TH11,TH12,TH13,TH14,TH15,TH16,TH17,TH18,TH19,TH20,TH21,TH22,TH23,TH24,TH25,TH26,TH27,TH28,TH29,TH30,TH31,TH32,TH33,TH34,TH35,TH36,TH37,TH38,TH39,TH40,TH41,TH42,TH43,TH44,TH45,TH46,TH47,TH48,TH49,TH50";"1Pin_12mil_VIA";50;"CONN_1";;;
42;"P1";"GSG-HEADER-2x2";1;"CONN_02X02";;;
